City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
133,talnakh,69.4865,88.3972,-11.55,77,27,1.87,RU,1682994615
134,tiksi,71.6872,128.8694,-5.22,89,100,4.56,RU,1682994615
135,banda aceh,5.5577,95.3222,29.17,72,86,1.88,ID,1682994326
136,hawaiian paradise park,19.5933,-154.9731,26.13,73,75,6.17,US,1682994616
137,pekanbaru,0.5333,101.45,29.18,84,40,2.06,ID,1682994616
138,port mathurin,-19.6833,63.4167,25.85,78,2,3.18,MU,1682994616
139,rockport,28.0206,-97.0544,24.44,91,0,6.69,US,1682994616
140,aliwal north,-30.6937,26.7114,10.68,20,2,1.19,ZA,1682994616
141,udachny,66.4167,112.4,-6.97,61,100,8.56,RU,1682994616
142,zarechnyy,53.2036,45.1923,9.62,99,100,1.25,RU,1682994617
143,colonia,50.9333,6.95,11.09,86,75,3.09,DE,1682994589
144,uturoa,-16.7333,-151.4333,27.86,78,99,7.59,PF,1682994617
145,nosy varika,-20.5833,48.5333,22.29,90,79,3.28,MG,1682994617
146,west island,-12.1568,96.8225,27.99,78,40,7.2,CC,1682994617
147,isangel,-19.55,169.2667,28.87,74,71,5.08,VU,1682994617
148,new glasgow,45.5834,-62.6486,4.88,93,100,8.77,CA,1682994413
149,rodolfo sanchez taboada,31.7167,-116.5667,14.5,69,56,1.34,MX,1682994618
150,maracacume,-2.0428,-45.9592,23.0,98,97,0.98,BR,1682994618
151,happy valley-goose bay,53.3168,-60.3315,3.17,70,75,2.06,CA,1682994618
152,yerofey pavlovich,53.9667,121.9667,10.83,56,100,4.57,RU,1682994618
153,sao jose da coroa grande,-8.8978,-35.1478,25.41,81,48,1.41,BR,1682994618
154,katsuren-haebaru,26.3369,127.8719,25.22,53,0,8.23,JP,1682994618
155,kirakira,-10.4544,161.9205,29.97,72,97,5.0,SB,1682994619
156,ilulissat,69.2167,-51.1,1.01,60,2,4.12,GL,1682994619
157,san antonio de pale,-1.4014,5.6325,27.44,76,98,2.78,GQ,1682994619
158,thompson,55.7435,-97.8558,9.09,34,20,1.03,CA,1682994619
159,tura,25.5198,90.2201,24.47,72,17,1.54,IN,1682994619
160,wailua homesteads,22.0669,-159.378,25.44,80,100,1.34,US,1682994620
161,kisangani,0.5167,25.2,20.43,99,91,0.61,CD,1682994620
162,puerto carreno,6.189,-67.4859,28.7,63,49,2.01,CO,1682994620
163,ust'-ilimsk,58.0006,102.6619,2.94,63,100,4.48,RU,1682994620
164,takanabe,32.1333,131.5,19.94,41,88,3.02,JP,1682994620
165,kuressaare,58.2481,22.5039,7.19,83,100,6.26,EE,1682994620
166,altay,47.8667,88.1167,2.1,49,31,2.92,CN,1682994621
167,mount gambier,-37.8333,140.7667,14.23,75,71,4.38,AU,1682994621
168,ghormach,35.7306,63.7826,24.51,16,58,1.12,AF,1682994621
169,najaf,31.9985,44.3398,18.88,37,0,4.12,IQ,1682994621
170,fale old settlement,-9.3852,-171.2468,28.86,74,5,6.19,TK,1682994621
171,wanning,18.8003,110.3967,26.59,85,76,3.71,CN,1682994413
172,leava,-14.3,-178.1667,28.32,75,37,10.4,WF,1682994622
173,college,64.8569,-147.8028,13.18,39,75,3.6,US,1682994559
174,pimenta bueno,-11.6725,-61.1936,22.76,97,19,1.02,BR,1682994622
175,brooks,50.5834,-111.8851,22.79,21,6,4.12,CA,1682994622
176,nadi,-17.8,177.4167,32.0,55,40,4.63,FJ,1682994622
177,rosso,16.4986,-15.8153,21.48,74,1,4.32,SN,1682994622
178,sao domingos do maranhao,-5.5758,-44.3853,22.32,97,100,0.86,BR,1682994622
179,lensk,60.7253,114.9278,5.2,55,18,0.41,RU,1682994623
180,vadso,70.0744,29.7487,1.49,86,20,7.72,NO,1682994623
181,lebu,-37.6167,-73.65,9.75,80,1,4.34,CL,1682994623
182,belmonte,-15.8631,-38.8828,24.12,87,99,0.85,BR,1682994623
183,harnai,30.1005,67.9374,23.08,44,100,0.78,PK,1682994623
184,waitara,-38.925,174.25,20.68,88,100,4.13,NZ,1682994624
185,clorinda,-25.2848,-57.7185,22.09,96,70,3.06,AR,1682994624
186,anna regina,7.2644,-58.5077,25.35,82,39,3.05,GY,1682994624
187,jacobina,-11.1806,-40.5183,21.23,96,99,1.5,BR,1682994624
188,mao,39.8885,4.2658,16.31,88,0,2.57,ES,1682994624
189,manacapuru,-3.2997,-60.6206,24.6,92,100,1.63,BR,1682994624
190,masindi port,1.6961,32.0861,16.64,97,95,1.23,UG,1682994625
